type,brand,capacity,read_speed,write_speed,warranty,price,original_info
2.5吋 SATA3,Samsung,2TB,560,530,3,4999,"三星 Samsung 870 QVO 2TB/2.5吋/讀:560/寫:530/QLC/三年保*星睿奇, $4999 ◆ ★"
2.5吋 SATA3,Samsung,4TB,560,530,3,8888,"三星 Samsung 870 QVO 4TB/2.5吋/讀:560/寫:530/QLC/三年保*星睿奇, $8888 ◆ ★"
2.5吋 SATA3,Samsung,8TB,560,530,3,17999,"三星 Samsung 870 QVO 8TB/2.5吋/讀:560/寫:530/QLC/三年保*星睿奇, $17999 ◆ ★"
2.5吋 SATA3,十銓,1TB,11700,9500,5,5650,"十銓 T-ForceZ540黑武士(石墨烯)1TB/Gen5 PCIe 5.0/讀:11700M/寫:9500M(五年保), $5650 ◆ ★"
2.5吋 SATA3,十銓,2TB,12400,11800,5,10500,"十銓 T-ForceZ540黑武士(石墨烯)2TB/Gen5 PCIe 5.0/讀:12400M/寫:11800M(五年保), $10500 ◆ ★"
2.5吋 SATA3,Seagate,2TB,10000,10000,5,9888,"Seagate FireCuda 540 2TB/Gen5 PCIe 5.0/(火梭魚)讀:10000/寫:10000/TLC【五年保】, $9888 ◆ ★"
2.5吋 SATA3,美光,1TB,11700,9500,5,5588,"美光 Micron Crucial T700 1TB Gen5 PCIe 5.0 讀:11700/寫:9500/TLC【五年保】, $5588 ◆ ★ 熱賣"
2.5吋 SATA3,美光,2TB,12400,11800,5,9350,"美光 Micron Crucial T700 2TB Gen5 PCIe 5.0 讀:12400/寫:11800/TLC【五年保】, $9350 ◆ ★ 熱賣"
2.5吋 SATA3,美光,4TB,12400,11800,5,18000,"美光 Micron Crucial T700 4TB Gen5 PCIe 5.0 讀:12400/寫:11800/TLC【五年保】, $18500↘$18000 ◆ ★"
2.5吋 SATA3,美光,1TB,11700,9500,5,6100,"美光 Micron Crucial T700 1TB含散熱片 Gen5 PCIe 5.0 讀:11700/寫:9500/TLC【五年保】, $6100 ◆ ★ 熱賣"
2.5吋 SATA3,美光,2TB,12400,11800,5,11000,"美光 Micron Crucial T700 2TB含散熱片 Gen5 PCIe 5.0 讀:12400/寫:11800/TLC【五年保】, $11000 ◆ ★ 熱賣"
2.5吋 SATA3,美光,4TB,12400,11800,5,19000,"美光 Micron Crucial T700 4TB含散熱片 Gen5 PCIe 5.0 讀:12400/寫:11800/TLC【五年保】, $20700↘$19000 ◆ ★"
2.5吋 SATA3,技嘉,1TB,11700,9500,5,5990,"技嘉 AORUS Gen5 12000 SSD 1TB 頂級效能PCIe 5.0 讀:11700/寫:9500/TLC【五年保】, $5990 ◆ ★"
2.5吋 SATA3,技嘉,2TB,12400,11800,5,9490,"微星 SPATIUM M570 PRO FROZR 2TB Gen5 PCIe 5.0 讀:12400/寫:11800/TLC【五年保】, $9490 ◆ ★"
2.5吋 SATA3,Samsung,1TB,5000,4200,0,3739,"三星 Samsung 990 EVO 1TB/PCIe 4.0 x4/5.0 x2/讀:5000/寫:4200~送128G記憶卡&咖啡券~, $3739 ◆ ★ 熱賣"
2.5吋 SATA3,Samsung,2TB,5000,4200,0,6289,"三星 Samsung 990 EVO 2TB/PCIe 4.0 x4/5.0 x2/讀:5000/寫:4200~送128G記憶卡&咖啡券~, $6289 ◆ ★ 熱賣"
2.5吋 SATA3,UMAX,1TB,5000,4400,5,2100,"UMAX M1300 1TB/Gen4 PCIe 4.0/讀:5000M/寫:4400M【五年】DRAM快取/銅箔散熱片, $2100 ◆ ★"
2.5吋 SATA3,UMAX,1TB,7000,5500,5,2450,"UMAX M1500 1TB/Gen4 PCIe 4.0/讀:7000M/寫:5500M【五年】DRAM快取/銅箔散熱片, $2450 ◆ ★ 熱賣"
2.5吋 SATA3,UMAX,2TB,7000,6850,5,4500,"UMAX M1500 2TB/Gen4 PCIe 4.0/讀:7000M/寫:6850M【五年】DRAM快取/銅箔散熱片, $4500 ◆ ★ 熱賣"
2.5吋 SATA3,UMAX,4TB,7200,6850,5,8500,"UMAX M1500 4TB/Gen4 PCIe 4.0/讀:7200M/寫:6850M【五年】DRAM快取/銅箔散熱片, $8500 ◆ ★ 熱賣"
2.5吋 SATA3,海力士,500GB,7000,4700,5,1699,"SK 海力士 Platinum P41 500G/Gen4 PCIE 4.0/讀:7000/寫:4700/DRAM快取(五年), $1699 ◆ ★"
2.5吋 SATA3,海力士,1TB,7000,6500,5,2999,"SK 海力士 Platinum P41 1TB/Gen4 PCIE 4.0/讀:7000/寫:6500/DRAM快取(五年), $2999 ◆ ★ 熱賣"
2.5吋 SATA3,海力士,2TB,7000,6500,5,4999,"SK 海力士 Platinum P41 2TB/Gen4 PCIE 4.0/讀:7000/寫:6500/DRAM快取(五年), $4999 ◆ ★ 熱賣"
2.5吋 SATA3,KLEVV,500GB,5000,3700,5,1399,"KLEVV CRAS C910 500G/Gen4 PCIe 4.0/讀:5000/寫:3700/TLC【五年】輕薄鋁散熱片, $1399 ◆ ★ 熱賣"
2.5吋 SATA3,KLEVV,1TB,5000,4800,5,1999,"KLEVV CRAS C910 1TB/Gen4 PCIe 4.0/讀:5000/寫:4800/TLC【五年】輕薄鋁散熱片, $1999 ◆ ★ 熱賣"
2.5吋 SATA3,KLEVV,1TB,7400,6400,0,2499,"KLEVV CRAS C930 1TB/Gen4 PCIe 4.0/讀:7400M/寫:6400M DRAM快取/鰭狀鋁散熱片, $2499 ◆ ★ 熱賣"
2.5吋 SATA3,威剛,512GB,5000,2700,5,1399,"威剛 XPG S60 PRO 512G/Gen4/讀:5000M/寫:2700M/SMI主控/五年/贈散熱片, $1399 ◆ ★ 熱賣"
2.5吋 SATA3,威剛,1TB,5000,4500,5,2399,"威剛 XPG S60 PRO 1TB/Gen4/讀:5000M/寫:4500M/SMI主控/五年/贈散熱片, $2399 ◆ ★ 熱賣"
2.5吋 SATA3,威剛,2TB,5000,4500,5,4199,"威剛 XPG S60 PRO 2TB/Gen4/讀:5000M/寫:4500M/SMI主控/五年/贈散熱片, $4199 ◆ ★ 熱賣"
2.5吋 SATA3,威剛,512GB,7200,2600,5,1599,"威剛 XPG S70BLADE 512G/Gen4/讀:7200M/寫:2600M/ DRAM快取/五年/贈散熱片, $1599 ◆ ★"
2.5吋 SATA3,威剛,1TB,7400,5500,5,2599,"威剛 XPG S70BLADE 1T/Gen4/讀:7400M/寫:5500M/ DRAM快取/五年/贈散熱片, $2599 ◆ ★"
2.5吋 SATA3,威剛,2TB,7400,6400,5,4479,"威剛 XPG S70BLADE 2T/Gen4/讀:7400M/寫:6400M/ DRAM快取/五年/贈散熱片, $4479 ◆ ★ 熱賣"
2.5吋 SATA3,威剛,1TB,7400,6000,5,2699,"威剛 XPG S70PRO 1TB黑/Gen4/讀:7400/寫:6000/SMI主控/DRAM快取/五年/贈散熱片, $2699 ◆ ★ 熱賣"
2.5吋 SATA3,威剛,2TB,7400,6800,5,4599,"威剛 XPG S70PRO 2TB黑/Gen4/讀:7400/寫:6800/SMI主控/DRAM快取/五年/贈散熱片, $4599 ◆ ★ 熱賣"
2.5吋 SATA3,威剛,4TB,7400,6800,5,8999,"威剛 XPG S70PRO 4TB黑/Gen4/讀:7400/寫:6800/SMI主控/DRAM快取/五年/贈散熱片, $8999 ◆ ★ 熱賣"
2.5吋 SATA3,威剛,1TB,7400,6000,5,2699,"威剛 XPG S70PRO 1TB白/Gen4/讀:7400/寫:6000/SMI主控/DRAM快取/五年/贈散熱片, $2699 ◆ ★ 熱賣"
2.5吋 SATA3,威剛,2TB,7400,6800,5,4599,"威剛 XPG S70PRO 2TB白/Gen4/讀:7400/寫:6800/SMI主控/DRAM快取/五年/贈散熱片, $4599 ◆ ★ 熱賣"
2.5吋 SATA3,威剛,4TB,7400,6800,5,8999,"威剛 XPG S70PRO 4TB白/Gen4/讀:7400/寫:6800/SMI主控/DRAM快取/五年/贈散熱片, $8999 ◆ ★ 熱賣"
2.5吋 SATA3,Solidigm,1TB,4125,2950,5,1990,"Solidigm(原INTEL) P41 Plus 1TB/Gen4 PCIe 4.0/讀:4125M/寫:2950M/五年, $1990 ◆ ★"
2.5吋 SATA3,Solidigm,2TB,4125,3325,5,3150,"Solidigm(原INTEL) P41 Plus 2TB/Gen4 PCIe 4.0/讀:4125M/寫:3325M/五年, $3150 ◆ ★"
2.5吋 SATA3,Solidigm,512GB,7000,4700,5,1650,"Solidigm(原INTEL) P44 Pro 512G/Gen4 PCIe 4.0/讀:7000M/寫:4700M/DRAM快取/五年, $1650 ◆ ★"
2.5吋 SATA3,Solidigm,1TB,7000,6500,5,2880,"Solidigm(原INTEL) P44 Pro 1TB/Gen4 PCIe 4.0/讀:7000M/寫:6500M/DRAM快取/五年, $2880 ◆ ★"
2.5吋 SATA3,Solidigm,2TB,7000,6500,5,5100,"Solidigm(原INTEL) P44 Pro 2TB/Gen4 PCIe 4.0/讀:7000M/寫:6500M/DRAM快取/五年, $5100 ◆ ★"
2.5吋 SATA3,十銓,1TB,7400,6500,5,2399,"十銓 TEAM MP44 1TB/Gen4/讀:7400M/寫:6500M/TLC顆粒/具石墨烯散熱標籤(五年), $2399 ◆ ★"
2.5吋 SATA3,十銓,2TB,7400,7000,5,3899,"十銓 TEAM MP44 2TB/Gen4/讀:7400M/寫:7000M/TLC顆粒/具石墨烯散熱標籤(五年), $3899 ◆ ★"
2.5吋 SATA3,十銓,4TB,7400,6900,5,8299,"十銓 TEAM MP44 4TB/Gen4/讀:7400M/寫:6900M/TLC顆粒/具石墨烯散熱標籤(五年), $8299 ◆ ★"
2.5吋 SATA3,十銓,8TB,7200,6000,0,26888,"十銓 TEAM MP44 8TB/Gen4/讀:7200M/寫:6000M/TLC顆粒/具石墨烯散熱標籤by order~, $26888 ◆ ★"
2.5吋 SATA3,十銓,250GB,3300,1400,5,999,"十銓 T-ForceZ44L黑武士(石墨烯)250G/Gen4 PCIe 4.0/讀:3300M/寫:1400M(五年), $999 ◆ ★"
2.5吋 SATA3,十銓,500GB,3300,2400,5,1199,"十銓 T-ForceZ44L黑武士(石墨烯)500G/Gen4 PCIe 4.0/讀:3300M/寫:2400M(五年), $1199 ◆ ★"
2.5吋 SATA3,十銓,1TB,3500,3000,5,1899,"十銓 T-ForceZ44L黑武士(石墨烯)1TB/Gen4 PCIe 4.0/讀:3500M/寫:3000M(五年), $1899 ◆ ★"
2.5吋 SATA3,十銓,1TB,5000,4400,5,2099,"十銓 T-ForceZ44A5極限零(石墨烯)1TB/Gen4 PCIe 4.0/讀:5000M/寫:4400M(五年), $2099 ◆ ★ 熱賣"
2.5吋 SATA3,十銓,2TB,5000,4400,5,3699,"十銓 T-ForceZ44A5極限零(石墨烯)2TB/Gen4 PCIe 4.0/讀:5000M/寫:4400M(五年), $3699 ◆ ★ 熱賣"
